Change Log
==================================================

File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/28.md | Original: 'addz some' | Updated: 'addz  some'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/10.md | Original: 'makezbreaks' | Updated: 'makez breaks'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/10.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/10.md | Original: 'packzthe' | Updated: 'packz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/30.md | Original: 'getzthe' | Updated: 'getz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/30.md | Original: 'forgetzto' | Updated: 'forgetz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/30.md | Original: 'scrubzto' | Updated: 'scrubz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/30.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/04.md | Original: 'assumezthe' | Updated: 'assumez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/04.md | Original: 'eatzcurry' | Updated: 'eatz curry'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/15.md | Original: 'walkzback' | Updated: 'walkz back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/15.md | Original: 'skipzthe' | Updated: 'skipz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/21.md | Original: 'considerzgoing' | Updated: 'considerz going'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/05.md | Original: 'oozj' | Updated: 'ooz j'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/05.md | Original: 'takezher' | Updated: 'takez her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/25.md | Original: 'goezfor' | Updated: 'goez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/25.md | Original: 'makezthe' | Updated: 'makez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/25.md | Original: 'eatzthe' | Updated: 'eatz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/11.md | Original: 'izconstructive' | Updated: 'iz constructive'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/03/01.md | Original: 'startzthe' | Updated: 'startz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/18.md | Original: 'learnzfrom' | Updated: 'learnz from'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/18.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/18.md | Original: 'goezwatch' | Updated: 'goez watch'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/18.md | Original: 'doezsome' | Updated: 'doez some'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/08.md | Original: 'followzthe' | Updated: 'followz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/09.md | Original: 'removezthe' | Updated: 'removez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/09.md | Original: 'addzten' | Updated: 'addz ten'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/09.md | Original: 'managezto' | Updated: 'managez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/09.md | Original: 'presentzthe' | Updated: 'presentz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/09.md | Original: 'awakenzthe' | Updated: 'awakenz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/29.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/16.md | Original: 'escapezto' | Updated: 'escapez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/16.md | Original: 'showerzwith' | Updated: 'showerz with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/16.md | Original: 'getzto' | Updated: 'getz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/22.md | Original: 'uQB3txutAXvNSzkV9' | Updated: 'uQB3txutAXvNSz kV9'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/22.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/22.md | Original: 'getzto' | Updated: 'getz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/22.md | Original: 'getztwo' | Updated: 'getz two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/06.md | Original: 'ironzwith' | Updated: 'ironz with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/06.md | Original: 'confirmzthat' | Updated: 'confirmz that'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/06.md | Original: 'triezto' | Updated: 'triez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/26.md | Original: 'polishezthe' | Updated: 'polishez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/26.md | Original: 'improvisezdinner' | Updated: 'improvisez dinner'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/12.md | Original: 'getztreated' | Updated: 'getz treated'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/02.md | Original: 'blastzpoland' | Updated: 'blastz poland'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/02.md | Original: 'abdicatezdwayne' | Updated: 'abdicatez dwayne'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/27.md | Original: 'packzwhat' | Updated: 'packz what'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/27.md | Original: 'getzreminded' | Updated: 'getz reminded'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/27.md | Original: 'getzna' | Updated: 'getz na'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/27.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/13.md | Original: 'eatznuts' | Updated: 'eatz nuts'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/13.md | Original: 'mixez_homecoming_' | Updated: 'mixez _homecoming_'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/13.md | Original: 'preparezrice' | Updated: 'preparez rice'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/03.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/03.md | Original: 'presentzshit' | Updated: 'presentz shit'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/03.md | Original: 'inspirezthe' | Updated: 'inspirez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/23.md | Original: 'rememberzthat' | Updated: 'rememberz that'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/23.md | Original: 'anticipateznicoline' | Updated: 'anticipatez nicoline'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/23.md | Original: 'movezto' | Updated: 'movez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/23.md | Original: 'acceleratezback' | Updated: 'acceleratez back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/07.md | Original: 'arrangez_tau_' | Updated: 'arrangez _tau_'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/07.md | Original: 'collectzfixie' | Updated: 'collectz fixie'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/24.md | Original: 'qdPxUuVkCVzpDZEU9' | Updated: 'qdPxUuVkCVz pDZEU9'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/24.md | Original: 'fixezthe' | Updated: 'fixez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/24.md | Original: 'finishezthe' | Updated: 'finishez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/24.md | Original: 'adjustzthe' | Updated: 'adjustz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/10.md | Original: 'choosezthe' | Updated: 'choosez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'putzsileno' | Updated: 'putz sileno'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'arrangeztau' | Updated: 'arrangez tau'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'sendzback' | Updated: 'sendz back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'checkzthe' | Updated: 'checkz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'arrivezlate' | Updated: 'arrivez late'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'feelzrather' | Updated: 'feelz rather'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'buyzdulce' | Updated: 'buyz dulce'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/20.md | Original: 'takezher' | Updated: 'takez her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/30.md | Original: 'goezfor' | Updated: 'goez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/04.md | Original: 'getzno' | Updated: 'getz no'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/04.md | Original: 'getzcornered' | Updated: 'getz cornered'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/04.md | Original: 'sufferzthrough' | Updated: 'sufferz through'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/04.md | Original: 'endurezto' | Updated: 'endurez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/15.md | Original: 'endurezthe' | Updated: 'endurez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/15.md | Original: 'patchezwith' | Updated: 'patchez with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/21.md | Original: 'SizmH9dAvLpHcx5e9' | Updated: 'Siz mH9dAvLpHcx5e9'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/21.md | Original: 'downzthe' | Updated: 'downz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/21.md | Original: 'getztwo' | Updated: 'getz two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/21.md | Original: 'performzrather' | Updated: 'performz rather'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/05.md | Original: 'forgetzthat' | Updated: 'forgetz that'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/25.md | Original: 'NYpE5z4ZVP7XnJkLA' | Updated: 'NYpE5z 4ZVP7XnJkLA'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/25.md | Original: 'refusezto' | Updated: 'refusez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/25.md | Original: 'entertainzdesign' | Updated: 'entertainz design'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/25.md | Original: 'dropzthe' | Updated: 'dropz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/11.md | Original: 'fiddlezwith' | Updated: 'fiddlez with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/11.md | Original: 'goezfetching' | Updated: 'goez fetching'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/04/01.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/28.md | Original: 'Tokv9cPMJkDDx2Qz5' | Updated: 'Tokv9cPMJkDDx2Qz 5'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/18.md | Original: 'rendesvouzwith' | Updated: 'rendesvouz with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/08.md | Original: 'waitzfor' | Updated: 'waitz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/08.md | Original: 'chez_michou' | Updated: 'chez _michou'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/08.md | Original: 'lazy' | Updated: 'laz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/19.md | Original: 'getzcollected' | Updated: 'getz collected'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/19.md | Original: 'getzto' | Updated: 'getz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/19.md | Original: 'friezchicken' | Updated: 'friez chicken'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/19.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/09.md | Original: '3FzXMto16y9Msk5R9' | Updated: '3Fz XMto16y9Msk5R9'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/29.md | Original: 'pMNdzVNSjk7Q5x7M8' | Updated: 'pMNdz VNSjk7Q5x7M8'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/29.md | Original: 'askzfor' | Updated: 'askz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/16.md | Original: 'startzthe' | Updated: 'startz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/22.md | Original: 'ndRoWjzvbjFjzZ1P7' | Updated: 'ndRoWjz vbjFjzZ1P7'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/22.md | Original: 'grabzthe' | Updated: 'grabz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/22.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/22.md | Original: 'attemptzto' | Updated: 'attemptz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/06.md | Original: 'goezfor' | Updated: 'goez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'ZPVsBG94SxJgmznj9' | Updated: 'ZPVsBG94SxJgmz nj9'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'needzto' | Updated: 'needz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'fetchezsnigel' | Updated: 'fetchez snigel'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'rulezthe' | Updated: 'rulez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'getzrules' | Updated: 'getz rules'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/26.md | Original: 'skipzthe' | Updated: 'skipz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/12.md | Original: 'needzcoke' | Updated: 'needz coke'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/12.md | Original: 'walkzback' | Updated: 'walkz back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/12.md | Original: 'bizmillah' | Updated: 'biz millah'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/02.md | Original: 'zl' | Updated: 'z l'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/02.md | Original: '66gQpJ7Q56ostzf5A' | Updated: '66gQpJ7Q56ostz f5A'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/02.md | Original: 'killztime' | Updated: 'killz time'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/02.md | Original: 'zé' | Updated: 'z é'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/02.md | Original: 'bizmillah' | Updated: 'biz millah'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/03.md | Original: 'strugglezbut' | Updated: 'strugglez but'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/03.md | Original: 'flirtzwith' | Updated: 'flirtz with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/03.md | Original: 'walkzback' | Updated: 'walkz back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/17.md | Original: 'rendezvous' | Updated: 'rendez vous'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/23.md | Original: 'fixezthe' | Updated: 'fixez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/23.md | Original: 'recommendzto' | Updated: 'recommendz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/07.md | Original: 'decidezto' | Updated: 'decidez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/07.md | Original: 'bizmillah' | Updated: 'biz millah'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/07.md | Original: 'rendezvous' | Updated: 'rendez vous'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/07.md | Original: 'goezto' | Updated: 'goez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/10.md | Original: 'takezwally' | Updated: 'takez wally'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/10.md | Original: 'goezto' | Updated: 'goez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/10.md | Original: 'walkzdown' | Updated: 'walkz down'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/14.md | Original: 'H5W4nuvzpGCYuUKDA' | Updated: 'H5W4nuvz pGCYuUKDA'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/20.md | Original: 'friezrice' | Updated: 'friez rice'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'payzfor' | Updated: 'payz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'acquireztwo' | Updated: 'acquirez two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'goezto' | Updated: 'goez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'getztwo' | Updated: 'getz two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'fetchezher' | Updated: 'fetchez her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/30.md | Original: 'headzto' | Updated: 'headz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/04.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/04.md | Original: 'zl' | Updated: 'z l'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/15.md | Original: 'askzcumadi' | Updated: 'askz cumadi'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/21.md | Original: 'fightzspeedboating' | Updated: 'fightz speedboating'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/21.md | Original: 'createzsome' | Updated: 'createz some'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/21.md | Original: 'collectzfood' | Updated: 'collectz food'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/21.md | Original: 'chairzthe' | Updated: 'chairz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/21.md | Original: 'swapzthe' | Updated: 'swapz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/31.md | Original: 'getzhooked' | Updated: 'getz hooked'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/31.md | Original: 'headzto' | Updated: 'headz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/05.md | Original: 'rendezvous' | Updated: 'rendez vous'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/25.md | Original: 'triezspinning' | Updated: 'triez spinning'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/25.md | Original: 'getzsome' | Updated: 'getz some'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/25.md | Original: 'zzs' | Updated: 'zz s'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/25.md | Original: 'getzburgers' | Updated: 'getz burgers'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/25.md | Original: 'fixezthe' | Updated: 'fixez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/11.md | Original: 'zl' | Updated: 'z l'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/05/11.md | Original: 'rendezvous' | Updated: 'rendez vous'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/28.md | Original: 'fizzy' | Updated: 'fizz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/18.md | Original: 'burnzthe' | Updated: 'burnz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/18.md | Original: 'convincezthe' | Updated: 'convincez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/08.md | Original: 'exitzslightly' | Updated: 'exitz slightly'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/19.md | Original: 'masterz_cabin' | Updated: 'masterz _cabin'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/19.md | Original: 'triezto' | Updated: 'triez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/19.md | Original: 'movezto' | Updated: 'movez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/09.md | Original: 'putzthe' | Updated: 'putz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/09.md | Original: 'z3fold' | Updated: 'z 3fold'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/09.md | Original: 'zbud' | Updated: 'z bud'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/09.md | Original: 'getzher' | Updated: 'getz her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/16.md | Original: 'beginzbacking' | Updated: 'beginz backing'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2024/02/16.md | Original: 'startzmoving' | Updated: 'startz moving'
